slang_term,meaning,slang_sentence,normal_sentence,source
hella,really / very,That hike was hella steep but the view was worth it.,That hike was really steep but the view was worth it.,grok
AOYP,angel on your pillow,"Night love, AOYP and text me when you're free tomorrow.","Night love, sweet dreams and text me when you're free tomorrow.",grok
AISB,as it should be,"They finally fixed the bug, AISB.","They finally fixed the bug, just like it should be.",grok
Checkpoint,save progress,Don't die now—we just hit a checkpoint.,Don't die now—we just saved our progress.,grok
SIT,stay in touch,"Great seeing you again, SIT yeah?","Great seeing you again, let's stay in touch yeah?",grok
AAP,always a pleasure,Working with your team is AAP every single time.,Working with your team is always a pleasure every single time.,grok
Barely Awake,very tired,I'm barely awake after scrolling till 3 am.,I'm wiped out after staying up scrolling until 3.,grok
Algorithm Brain,think like code,Gotta flip on my algorithm brain for this logic puzzle.,I need to start thinking like a computer for this logic puzzle.,grok
Stitch Video,clip response,I'm dropping a stitch video to clap back at that take.,I'm posting a reply clip to respond to that opinion.,grok
GAC,get a clue,"Bro, GAC—she's not into you at all.","Dude, wake up—she's clearly not interested.",grok
TYS,told you so,"TYS, that shortcut was gonna backfire.","See, I warned you that shortcut would mess things up.",grok
Vibing,feeling good about,I'm really vibing with this cozy rainy weather.,I'm really into this cozy rainy day mood.,grok
OTOH,on the other hand,"I wanna cancel plans, OTOH the tickets weren't cheap.","I want to cancel, but then again the tickets cost a lot.",grok
Rise Higher,improve more,Keep showing up and you'll rise higher every season.,Keep at it and you'll keep getting better each season.,grok
YGG,you go girl,YGG for asking for that raise!,Way to go for speaking up about that raise!,grok
Inbox Zero,no messages left,Hit inbox zero before lunch and felt free.,Cleared every email before lunch and felt relieved.,grok
PLD,played,He got totally PLD by that fake giveaway.,He got completely tricked by that fake giveaway.,grok
Sneak Diss,subtle insult,Her caption was a pure sneak diss at the whole group.,Her caption was a sneaky dig aimed at all of us.,grok
NWO,no way out,With both deadlines today we're in NWO.,With both deadlines today we're completely trapped.,grok
Green Light,permission to go,Just got the green light to launch the campaign.,Just got the okay to start the campaign.,grok
Pick Me,attention seeker,She's acting so pick me trying to one-up everyone.,"She's acting so thirsty for attention, always trying to top people.",grok
Fax No Printer,very true,That take on overtime is fax no printer.,That point about overtime is spot on.,grok
EMBAR,embarrassing,Tripping on stage was so EMBAR.,Tripping on stage was really embarrassing.,grok
CUL8R,see you later,"Gotta run, CUL8R at the party!","Gotta go, see you later at the party!",grok
AITR,adult in the room,Somebody be the AITR and stop this argument.,Somebody be the grown-up and end this fight.,grok
Cool Down,relax,Just cool down a sec before you text her back.,Just chill for a minute before you reply to her.,grok
BYOP,paintball,We're doing BYOP Saturday if you wanna join.,We're playing paintball Saturday if you want in.,grok
BCO,big crush on,I have a major BCO for the new barista.,I have a huge crush on the new barista.,grok
N1,nice one,N1 for snagging those concert tickets!,Nice job scoring those concert tickets!,grok
Zoomies,sudden energy burst,The cat got the zoomies and tore around the living room.,The cat got a crazy burst of energy and raced around the living room.,grok
Meal Prep,prepared food,I spent Sunday on meal prep so weeknights stay easy.,I cooked everything on Sunday so weeknights stay simple.,grok
GFI,go for it,"That role is perfect for you, just GFI and submit the app.","That role is perfect for you, just go ahead and submit the application.",grok
BOOMS,bored out of my skull,"I'm sitting through this lecture BOOMS, nothing's landing.","I'm sitting through this lecture completely bored, nothing's connecting.",grok
Rest Day,no workout,Today's a Rest Day so I'm skipping the gym and just walking the dog.,I'm not training today so I'm skipping the gym and just walking the dog.,grok
Brain Check,are you okay,"Brain check, you've been quiet since lunch.","Hey are you alright, you've been quiet since lunch.",grok
All Set,ready to go,"Bags packed and keys in hand, I'm all set.","Bags packed and keys in hand, I'm ready to leave.",grok
GTM,giggling to myself,That group chat joke has me GTM at my desk.,That group chat joke has me quietly laughing at my desk.,grok
Understood the assignment,nailed the task,Her presentation really understood the assignment.,Her presentation completely nailed what was needed.,grok
Code Switch,change how you act,I always code switch when my parents walk into the room.,I always change how I talk when my parents walk into the room.,grok
Stand Ten Toes,stand firm,You need to stand ten toes on that boundary with them.,You need to stay firm on that boundary with them.,grok
BBIAB,back in a bit,"BBIAB, just running to the store real quick.","I'll be back soon, just running to the store real quick.",grok
CYO,see you online,"Logging off for dinner, CYO in the lobby later.","Logging off for dinner, see you online in the lobby later.",grok
Break Point,limit reached,I'm at my break point with all the last-minute changes.,I've hit my limit with all the last-minute changes.,grok
ZZZZ,asleep,Bro is already ZZZZ on the couch after two episodes.,He's already knocked out on the couch after two episodes.,grok
SWAK,sealed with a kiss,Wrote her a short note and sent it SWAK.,Wrote her a short note and sealed it with a kiss.,grok
Head Space,mental state,I need better head space before we talk about this again.,I need to be in a clearer mindset before we talk about this again.,grok
DAFUQ,what the heck,DAFUQ just happened in that meeting?,What the heck just happened in that meeting?,grok
Caught in 4K,clearly exposed,He got caught in 4K trying to deny the texts.,He got totally exposed trying to deny the texts.,grok
Virtual Hug,online comfort,"Sorry you're dealing with that, sending a virtual hug.","Sorry you're dealing with that, sending some comfort your way online.",grok
WCA,who cares anyway,"They skipped the party, WCA at this point.","They skipped the party, who even cares at this point.",grok
DTTD,stay tuned,"More updates coming after the break, DTTD.","More updates coming after the break, don't go anywhere.",grok
APAC,all praise and credit,APAC to the design crew for making this look clean.,Full credit to the design crew for making this look clean.,grok
UDS,ugly domestic fight,"Neighbors had a full UDS last night, everyone could hear.","Neighbors had a full-blown ugly fight last night, everyone could hear.",grok
ERP,erotic role-play,"That server is mostly for ERP, not regular chat.","That server is mostly for erotic role-play, not regular chat.",grok
NSISR,not sure if spelled right,"I wrote 'necessary' three different ways, NSISR.","I wrote 'necessary' three different ways, not sure I got it right.",grok
RGR,"got it, agreed","RGR, I'll send the files over before noon.","Understood, I'll send the files over before noon.",grok
Big Mood,relatable feeling,Spending the whole weekend in pajamas is a big mood for me.,Spending the whole weekend in pajamas is something I totally relate to.,grok
BBQ,barbeque,We're throwing a BBQ in the backyard if you want to swing by.,We're having a barbeque in the backyard if you want to come over.,grok
First Draft,rough first try,"Don't stress, this is only the first draft of the presentation.","Don't stress, this is just my initial version of the presentation.",grok
Perfect Timing,right moment,"You texted right when I needed a break, perfect timing.","You texted right when I needed a break, that was ideal.",grok
UHGTBSM,you can't be serious,He forgot his own birthday party? UHGTBSM!,He forgot his own birthday party? You've got to be kidding me!,grok
Think Twice,be careful,Think twice before you ghost her after all that.,You should really reconsider ghosting her after everything.,grok
URW,you're welcome,Thanks for the snacks earlier. URW anytime.,Thanks for the snacks earlier. You're welcome anytime.,grok
No Shot,no chance,No shot we make it through traffic that fast.,There's no way we get through traffic that quickly.,grok
Bruh,dude,"Bruh, you left your keys in the fridge again?","Dude, you left your keys in the fridge again?",grok
so stan,bro code,"You never ditch a friend for a date, that's just so stan.","You never ditch a friend for a date, that's just basic bro code.",grok
YSYD,yeah right,You totally finished the marathon? YSYD.,"You totally finished the marathon? Yeah, sure you did.",grok
XOXOXO,hugs and kisses,"Can't wait to see you next week, XOXOXO!","Can't wait to see you next week, hugs and kisses!",grok
FFA,free for all,Once the bell rang the hallway became pure FFA.,Once the bell rang the hallway turned into a total free-for-all.,grok
Hard Carry,do most of the work,Our tank was trash so I had to hard carry the whole raid.,Our tank was useless so I had to do most of the work the whole raid.,grok
Duet Video,split-screen video,I posted a duet video with that new track last night.,I posted a split-screen video with that new track last night.,grok
NIMBY,not in my area,They support the shelter until it turns into a NIMBY issue.,They support the shelter until it's going to be near their houses.,grok
FAQ,common questions,Most of that is already covered in the FAQ section.,Most of that is already covered in the common questions section.,grok
GGOH,gotta leave,"This meeting is going nowhere, GGOH.","This meeting is going nowhere, I gotta get out of here.",grok
Canon,official version,In the book canon they actually stay friends at the end.,In the official story of the book they actually stay friends at the end.,grok
ATSITS,all the stars,I miss hanging with you ATSITS for real.,I miss hanging with you more than all the stars in the sky.,grok
VN,very nice,"That setup looks VN, how long did it take to build?","That setup looks really nice, how long did it take to build?",grok
BISFLATM,unverified,Everything he said about the deal is BISFLATM.,Everything he said about the deal is completely unverified.,grok
Copypasta,copied text,Someone dropped the same copypasta in every channel.,Someone posted the same repeated text in every channel.,grok
4SALE,for sale,Extra concert tickets 4SALE if anyone needs them.,Extra concert tickets for sale if anyone needs them.,grok
ES,erase screen,I typed ES and the whole terminal just went blank.,I typed the clear command and the whole terminal just went blank.,grok
Bugged Day,bad day,"Man it's been a full Bugged Day, spilled coffee then missed the bus.","Man it's been a full bad day, spilled coffee then missed the bus.",grok
Protein Shake,fitness drink,Just finished lifting and chugged my Protein Shake on the way out.,Just finished lifting and chugged my protein drink on the way out.,grok
TIR,teacher nearby,"Heads up TIR, put the phones away real quick.","Heads up the teacher's right here, put the phones away real quick.",grok
HMU,contact me,If you need a ride later just HMU whenever.,If you need a ride later just text me whenever.,grok
Memeable,perfect for memes,"His face when he slipped was so Memeable, screenshots everywhere.","His face when he slipped was perfect for memes, screenshots everywhere.",grok
G9,genius,You solved that puzzle in two minutes? Absolute G9 move.,You solved that puzzle in two minutes? Absolute genius move.,grok
New Money,flashy wealth style,He pulled up New Money with the gold chain and loud car.,He showed up flashy with the gold chain and loud car.,grok
Hypebeast,streetwear obsessed,"That guy is such a Hypebeast, never seen without limited sneakers.","That guy is so fashion-obsessed, never seen without limited sneakers.",grok
Final Boss,big challenge,This last project is the Final Boss before we graduate.,This last project is the biggest hurdle before we graduate.,grok
High Hopes,strong optimism,Walking into the audition with High Hopes for a callback.,Walking into the audition really optimistic about a callback.,grok
AIR,as I recall,AIR we agreed to meet by the fountain at noon.,As I remember we agreed to meet by the fountain at noon.,grok
RS,Runescape game,Spent half the night leveling up my account on RS again.,Spent half the night leveling up my account on Runescape again.,grok
YF,wife,Taking my YF out for dinner to celebrate her promotion.,Taking my wife out for dinner to celebrate her promotion.,grok
1NAM,one in a million,"Finding a friend like her is 1NAM, seriously lucky.","Finding a friend like her is one in a million, seriously lucky.",grok
BRT,be right there,"Just parking the car now, BRT in two minutes.","Just parking the car now, I'll be right there in two minutes.",grok
TechTok,tech TikTok content,Fell down a TechTok rabbit hole and ordered new earbuds.,Fell down a tech TikTok rabbit hole and ordered new earbuds.,grok
SWL,laughing hard,The group chat had me SWL all morning with those clips.,The group chat had me laughing so hard all morning with those clips.,grok
AFAIK,as far as I know,AFAIK nobody else signed up for the volunteer shift yet.,As far as I know nobody else signed up for the volunteer shift yet.,grok
villain era,assertive no phase,"I'm deep in my villain era, stopping people-pleasing cold.",I'm done being a pushover and finally saying no to people.,grok
WIBNI,wouldn't it be nice,WIBNI classes got canceled for the rest of the week.,Wouldn't it be nice if classes got canceled for the rest of the week.,grok
10Q,thank you,"10Q for covering my shift last minute, saved me.","Thank you for covering my shift last minute, saved me.",grok
PROLLY,probably,I'm PROLLY gonna stay home and catch up on sleep.,I'm probably going to stay home and catch up on sleep.,grok
SOL,sooner or later,SOL that secret is gonna slip out somehow.,Sooner or later that secret is going to slip out somehow.,grok
Respawn,come back after dying,I got wrecked but hit Respawn and jumped right back in.,I got wrecked but came back to life and jumped right back in.,grok
Tea Time,gossip moment,"Okay it's tea time, what did she really say after the fight?","Alright time for gossip, what did she actually say after the fight?",grok
ABTA,goodbye,"Gotta bounce, ABTA y'all.","I have to leave, goodbye everyone.",grok
Meta,best strategy,If you're not running the current meta you're just throwing the match.,If you're not using the best strategy right now you're just giving away the game.,grok
ESAD,drop dead,Bro that toxic rando can ESAD for all I care.,That toxic random can drop dead for all I care.,grok
TC,take care,"Text me when you get home, TC.","Text me when you get home, take care.",grok
TMI,too much information,"Ugh TMI, I really didn't need the bathroom story.","Ugh that's way too much info, I didn't need the bathroom story.",grok
Throw Shade,insult subtly,She just threw shade at my hair without even saying my name.,She just subtly insulted my hair without even saying my name.,grok
Barbiecore,pink fashion trend,I'm going full Barbiecore with the pink heels and everything.,I'm dressing totally pink with the heels and all for the look.,grok
Passive Income,money without working,Once the rentals are set up it's pure passive income.,Once the rentals are set up the money just comes in without me working.,grok
GNIGHT,good night,"Phone dying, GNIGHT everyone.","My phone's dying, good night everyone.",grok
Live Wire,very energetic person,"My cousin is a live wire, she was dancing the whole night.","My cousin is super energetic, she was dancing the whole night.",grok
EZY,easy,That test was so EZY I finished early.,That test was so easy I finished early.,grok
GIC,baby gift,We just dropped off a GIC for their newborn.,We just dropped off a gift for their new baby.,grok
IGP,need to pee,"Pause the game real quick, IGP.","Pause the game for a second, I really need to pee.",grok
OH,overheard,OH from the hallway: they're canceling the event.,I overheard in the hallway that they're canceling the event.,grok
EG,evil grin,He had that EG the second he saw the scoreboard.,He had an evil grin the second he saw the scoreboard.,grok
BIOYN,blow it out your nose,"BIOYN with those fake apologies, nobody buying it.","Blow that nonsense right out, nobody's buying the fake apologies.",grok
Strong Finish,good ending,We need a strong finish if we want to impress the coach.,We need a really solid ending if we want to impress the coach.,grok
Back in Action,returned ready,"Knee finally healed, I'm back in action this weekend.","Knee's finally healed, I'm back and ready this weekend.",grok
WEP,weapon,Loot a better WEP before we push the zone.,Grab a better weapon before we push into the zone.,grok
WC,welcome,"WC to the server, hope you stick around.","Welcome to the server, hope you stick around.",grok
ICAM,totally agree,"ICAM, that was the best set of the night.","I couldn't agree more, that was the best set of the night.",grok
XP Bar,progress meter,One more match and my XP bar is maxed.,One more match and my progress meter is completely full.,grok
CAD,restart computer,"Screen froze again, doing a CAD real quick.","Screen froze again, I'm restarting the computer real quick.",grok
Prestige,reset with bonus,Hit level 55 so I'm about to prestige for the cool emblem.,I hit max level so I'm resetting for the cool bonus emblem.,grok
AIAMU,surprised disbelief,You really got the job after one interview? AIAMU!,You really got the job after one interview? I can't believe it!,grok
GA,go ahead,GA and order whatever you want from the menu.,Go ahead and order whatever you want from the menu.,grok
UDM,you're the man,"Thanks for covering my shift, UDM for real.","Thanks for covering my shift, you're the best.",grok
Slow Burn,gradual success,Her channel was a slow burn but now it's blowing up.,Her channel grew slowly at first but now it's huge.,grok
UTM,you tell me,Where should we eat tonight? UTM.,Where should we eat tonight? You decide.,grok
SWAT,wild guess,"I don't know the answer, that was just a SWAT.","I don't know the answer, that was just a wild guess.",grok
Way Ahead,far progress,I'm already way ahead on the group project this week.,I've already made a lot of progress on the group project.,grok
AMAP,as much as possible,Pack light but bring water AMAP for the hike.,Pack light but bring as much water as you can for the hike.,grok
Uninstall Life,take a break,After exams I'm gonna uninstall life and just sleep.,After exams I'm going to take a full break and just sleep.,grok
Drippy,stylish,"That jacket looks so drippy on you, where from?","That jacket looks really stylish on you, where is it from?",grok
Content Farm,low quality content,"That site is a total content farm, same recycled videos.","That site just pumps out low-quality stuff, same recycled videos.",grok
N2M,nothing much,What's new with you? N2M on my end.,What's new with you? Nothing much going on here.,grok
BOE,binds on equip,"Don't click equip yet, that ring is BOE.","Don't put it on yet, that ring locks to you when equipped.",grok
Soft Edit,light editing,"I only did a soft edit on the pic, kept it natural.","I only lightly edited the pic, kept it looking natural.",grok
AZN,Asian,"We're grabbing AZN food after class, you in?","We're grabbing Asian food after class, you want to come?",grok
Steady Pace,consistent speed,Just keep a steady pace and you'll hit your goal.,Just keep a consistent speed and you'll reach your goal.,grok
Makeup Trend,popular makeup look,Glass skin is the biggest makeup trend this year.,Glass skin is the most popular makeup look this year.,grok
GGE1,good game everyone,"That was intense, GGE1, see y'all next round.","That was intense, good game everyone, see you next round.",grok
TOJ,tears of joy,His proposal video had me in TOJ for real.,His proposal video made me cry happy tears.,grok
Cringy,embarrassing,Those old posts of mine are so cringy now.,Those old posts of mine are so embarrassing now.,grok
Down Bad,desperate,"He's still waiting by her stories, totally down bad.","He's still waiting on her stories, completely desperate.",grok
Long Shot,low chance,Getting a table there tonight is a long shot.,Getting a table there tonight is pretty unlikely.,grok
Zero Balance,no money,I'd love to go but I'm sitting at zero balance.,I'd love to go but I have no money right now.,grok
Low Battery,socially tired,"I'm low battery after that party, need quiet time.","I'm socially drained after that party, need quiet time.",grok
Soft Boy,emotional guy,"He's a total soft boy, always writing poems for people.","He's a really emotional guy, always writing poems for people.",grok
Crush,romantic interest,I got a huge crush on the barista who remembers my order.,I really like the barista who always remembers my order.,grok
TANK,really strong,My brother is a total tank and can lift pretty much anything.,My brother is super strong and can lift pretty much anything.,grok
AKA,also known as,"Meet Sam, AKA the guy who always brings snacks to study group.","Meet Sam, also known as the guy who always brings snacks to study group.",grok
Outfit Trend,popular clothes,Cargo pants are the outfit trend everyone is copying this month.,Cargo pants are the popular look everyone is wearing this month.,grok
Vibe Check,check attitude,I need a vibe check on the new roommate before I agree to anything.,I need to see if the new roommate's personality is cool before I agree to anything.,grok
Deepfake,AI fake video,"That clip of the singer is a deepfake, she never said that.","That clip of the singer is fake AI footage, she never said that.",grok
IOW,in other words,"He's moving out next week, IOW the apartment will be free.","He's moving out next week, so basically the apartment will be free.",grok
Doomscroll,endless bad scrolling,I doomscrolled through news for hours and now I can't sleep.,I kept scrolling bad news for hours and now I can't sleep.,grok
ADMINR,administrator,Message the ADMINR if your login is still broken.,Message the administrator if your login is still broken.,grok
WIU,wrap it up,"WIU already, we've been waiting for ten minutes.","Finish up already, we've been waiting for ten minutes.",grok
Battery Anxiety,low power fear,Battery anxiety hits hard when I'm out and stuck at 15%.,I get really worried about dying when my phone is at 15% and I'm out.,grok
Take Note,pay attention,"Take note, this shortcut will save you so much time later.","Pay attention, this shortcut will save you so much time later.",grok
Normalize,make it normal,Can we normalize leaving parties early if we're tired?,Can we make it okay to leave parties early if we're tired?,grok
DAM,don't annoy me,"DAM with the spam calls, I'm trying to focus.","Don't bother me with the spam calls, I'm trying to focus.",grok
Power Focus,strong concentration,I need power focus mode to get through this final draft.,I need serious concentration to get through this final draft.,grok
Friend Zoned,rejected romantically,He totally friend zoned me after I confessed last weekend.,He just wants to stay friends after I told him how I felt last weekend.,grok
Chatbot Friend,AI companion,My chatbot friend helped me talk through a rough night.,My AI companion helped me talk through a rough night.,grok
Early Access,before release,I snagged early access to the beta and the game already looks solid.,I got to try the beta early and the game already looks solid.,grok
C/P,cross post,Can you C/P that photo to the family group too?,Can you share that photo over to the family group too?,grok
Deep Focus,strong attention,I'm in deep focus right now so hit me later if it's not urgent.,I'm concentrating hard right now so message me later if it's not urgent.,grok
RTRMT,retirement,Daydreaming about RTRMT and never setting an alarm again.,Daydreaming about retirement and never setting an alarm again.,grok
OG,original one,She's the OG of this friend group and still keeps us all together.,She's the original member of this friend group and still keeps us all together.,grok
DMNO,no offense dude,DMNO but that plan sounds messy as hell.,No offense man but that plan sounds messy as hell.,grok
KK,knock knock,"KK, who's there? I've got a terrible joke ready.","Knock knock, who's there? I've got a terrible joke ready.",grok
SNAFU,total mess,The group project is a full SNAFU and nobody knows the deadline.,The group project is a complete mess and nobody knows the deadline.,grok
IWAWO,I want a way out,"This group project is a nightmare, IWAWO right now.","This group project is a nightmare, I need a way out right now.",grok
Snack,attractive person,"No joke, your cousin is a whole snack.","No joke, your cousin is really attractive.",grok
1432,I love you too,She hit me with 1432 after my long text.,She said I love you too after my long text.,grok
Green Flag,good sign,"He brought me soup when I was sick, huge green flag.","He brought me soup when I was sick, that's a really good sign.",grok
LAB,life sucks,"Car broke down again, LAB for real.","Car broke down again, life really sucks.",grok
PRW,parents watching,"Switching to code words, PRW at the table.","Switching to code words, my parents are watching at the table.",grok
SUP,what's up,"SUP, you still coming to the park?","Hey, what's up, are you still coming to the park?",grok
Core Fit,signature outfit,Black cargo pants and a hoodie is my core fit every time.,Black cargo pants and a hoodie is my go-to look every time.,grok
Friendship Breakup,end a friendship,We had a messy friendship breakup after the trip.,We ended our friendship after the trip and it was messy.,grok
R8,rate this,"R8 the new kicks, be honest.","Rate the new shoes, be honest.",grok
BTDT,been there done that,"You stressing over finals? BTDT, you'll live.","You're stressing over finals? I've been there and done that, you'll be fine.",grok
Bestie,best friend,Calling my bestie to vent about everything.,Calling my best friend to vent about everything.,grok
so mid,really average,"That concert was so mid, left early.","That concert was really average, I left early.",grok
C4N,bye for now,"Heading out, C4N chat tomorrow.","Heading out, bye for now, chat tomorrow.",grok
Airball,completely miss,I airballed every free throw in the game.,I completely missed every free throw in the game.,grok
KOL,key influencer,That brand only works with big KOLs these days.,That brand only works with big influencers these days.,grok
POT,potion,Drank a energy pot before the late shift.,Drank an energy potion before the late shift.,grok
NPC Energy,robotic vibe,The cashier had pure NPC energy the whole time.,The cashier had a completely blank robotic vibe the whole time.,grok
Choke,fail under pressure,"Don't choke on the last question, you got this.","Don't mess up the last question under pressure, you got this.",grok
Digital Detox,offline break,"Starting my digital detox tomorrow, no phone at all.","Starting my offline break tomorrow, no phone at all.",grok
Take the W,claim the win,"We aced the pitch, time to take the W.","We aced the pitch, time to claim the win.",grok
Achievement Unlocked,success unlocked,"Finally hit my savings goal, achievement unlocked!","Finally hit my savings goal, that's a real success!",grok
PMSL,laughing super hard,The way he tripped had me PMSL.,The way he tripped had me laughing so hard.,grok
APP,application,Just submitted the app for the internship.,Just submitted the application for the internship.,grok
MFW,my face when,MFW they announced free pizza in the chat.,My face when they announced free pizza in the chat.,grok
Low Signal,weak interest,I'm giving Low Signal on that whole group project idea.,I'm not really interested in that group project idea.,grok
FBC,Facebook chat,Just ping me on FBC when you're free later.,Just message me on Facebook chat when you're free later.,grok
?4U,question for you,"?4U, are we still meeting at the usual spot?","I have a question for you, are we still meeting at the usual spot?",grok
AWC,see you later,"Alright I'm out, AWC!","Alright I'm leaving, see you later!",grok
fanum tax,taking a bite of someone's food,He always pulls the fanum tax on my fries the second I open them.,He always steals a few of my fries the second I open them.,grok
T+,think positive,Just T+ about the interview and you'll be fine.,Just think positive about the interview and you'll be fine.,grok
YHBT,you got trolled,"YHBT, that whole story was fake the entire time.","You got trolled, that whole story was fake the entire time.",grok
FCOL,for crying out loud,"FCOL, can everyone just pick a restaurant already?","For crying out loud, can everyone just pick a restaurant already?",grok
VBS,huge smile,I had a total VBS when I saw the surprise cake.,I had a huge smile when I saw the surprise cake.,grok
Dream Big,aim high,You gotta Dream Big if you want that promotion next year.,You have to aim high if you want that promotion next year.,grok
Character Arc,personality growth,"Bro's deep in his Character Arc this semester, totally different energy.","He's really changed and grown this semester, totally different energy.",grok
ZOT,zero tolerance,The coach has ZOT for anyone showing up late to practice.,The coach has zero tolerance for anyone showing up late to practice.,grok
KOC,kiss on the cheek,She gave me a quick KOC before hopping in the car.,She gave me a quick kiss on the cheek before hopping in the car.,grok
Peak Era,best phase,She's straight up in her Peak Era with that new job.,She's in her absolute best phase with that new job.,grok
Keep Rolling,keep going,Rough start but just Keep Rolling and it'll even out.,Rough start but just keep going and it'll even out.,grok
GMTA,same idea,"GMTA, I was about to text you the exact same thing.","Great minds think alike, I was about to text you the exact same thing.",grok
DUR,do you remember,DUR that wild trip we took junior year?,Do you remember that wild trip we took junior year?,grok
super style,spending paycheck immediately,"He's living pure super style, money gone the day it hits.",He spends his whole paycheck the same day he gets paid.,grok
Fit Check,show the outfit,"Hold up, Fit Check before we walk into the party.","Hold up, show me your outfit before we walk into the party.",grok
ate af,crushed it completely,"She ate af on that presentation, no notes even needed.","She completely crushed that presentation, didn't even need notes.",grok
GTRM,going to check email,"Gimme a sec, GTRM real quick.","Give me a second, going to check my email real quick.",grok
Big yikes,really embarrassing,That whole speech was a Big yikes from start to finish.,That whole speech was really embarrassing from start to finish.,grok
WEEBO,obsessed with Japanese culture,"He's such a WEEBO, watches anime nonstop and collects figures.","He's so into Japanese culture, watches anime nonstop and collects figures.",grok
UV,gross visual,"Close the tab, that thumbnail is pure UV.","Close the tab, that thumbnail is pure unpleasant visual.",grok
Side Path,alternative route,Traffic's brutal so I took the Side Path home.,Traffic's terrible so I took an alternative route home.,grok
POTD,photo of the day,"Just dropped my POTD from the hike, go peep it.","I just posted my photo of the day from the hike, go check it out.",grok
GT,good try,"GT on the presentation, you'll nail it next round.","Good try on the presentation, you'll crush it next time.",grok
fr af,for real as fuck,That new track is pure fire fr af.,"That new song is seriously amazing, no joke.",grok
PDS,please don't shoot,"Whoa PDS, I was just kidding around.","Hey please don't attack, I was only joking.",grok
ick,sudden disgust,The way he chews gives me the total ick.,The way he chews is making me feel completely put off.,grok
Green Flag Energy,good vibes,He's bringing that Green Flag Energy to every hangout.,He's giving off really positive vibes every time we hang.,grok
LMFAO,laughing hard,LMFAO I can't believe he actually said that live.,"I'm dying laughing, I can't believe he said that on air.",grok
PXT,please explain that,Hold up PXT what you just dropped in the chat.,"Wait, please explain what you just wrote in the chat.",grok
CB,coffee break,"Stepping out for a quick CB, hit me if needed.","Heading out for a short coffee break, message me if you need anything.",grok
YCHT,you can have them,"These leftovers are free, YCHT if you want.","These leftovers are up for grabs, you can take them if you want.",grok
W/END,weekend,Plans for the W/END are still up in the air.,My weekend plans are still totally undecided.,grok
Even Keel,emotionally steady,Trying to keep an Even Keel through all this chaos.,I'm working hard to stay calm through all this mess.,grok
LHO,laughing head off,LHO at that video you sent last night.,I was laughing so hard at the video you sent last night.,grok
Bad Juju,bad luck,Walking under that ladder felt like pure Bad Juju.,Walking under that ladder felt like it would bring bad luck.,grok
FAF,funny as freak,That whole group chat thread is FAF right now.,That entire group chat thread is hilarious right now.,grok
KEYA,I'll message you later,Gotta bounce but KEYA once I'm free.,I have to leave but I'll text you once I'm free.,grok
Debuff,weakness,This headache is such a Debuff before the meeting.,This headache is really holding me back before the meeting.,grok
BITMT,but in the meantime,BITMT can you send over those notes?,"But while we wait, can you send me those notes?",grok
WHATEVES,whatever,"She said she was busy, WHATEVES I guess.","She said she was busy, whatever I guess.",grok
TA,thanks a lot,TA for covering my shift last minute.,Thanks a lot for covering my shift at the last minute.,grok
True Focus,real attention,I need True Focus if I'm finishing this paper tonight.,I need real concentration if I'm finishing this paper tonight.,grok
TIME,tears in my eyes,That ending had me TIME for real.,That ending genuinely had me tearing up.,grok
Spin the Block,return later,I might Spin the Block later if the spot's still open.,I might swing back later if the place is still open.,grok
WITP,what's the point,WITP of arguing when nobody's listening?,What's the point of arguing when no one's listening?,grok
so down bad,really struggling,After losing that game I'm so down bad rn.,After losing that game I'm in a really rough spot right now.,grok
Mind Reset,refresh thinking,After that argument I need a full mind reset before I can even look at my phone.,After that fight I need to clear my head before I can even check my messages.,grok
TTYAFN,talk later,"Class is starting, TTYAFN!","Class is about to start, talk to you in a bit!",grok
404,I don't know,Who even invited him? 404 on that one.,Who even invited him? I have no idea.,grok
Work Flow,task rhythm,Once I hit my work flow the whole project just clicks.,Once I get into a steady rhythm the whole project just comes together.,grok
YSIC,sister in faith,"Praying for you girl, YSIC.","I'm praying for you, sister.",grok
BD,big deal,He acts like getting that grade is some huge BD.,He acts like getting that grade is a huge deal.,grok
Fake Friend,disloyal person,"She only texts when she needs something, total fake friend energy.","She only messages when she wants a favor, completely disloyal.",grok
BBC,tough challenge,This coding problem is a straight-up BBC.,This coding problem is a really hard challenge.,grok
AWOL,checked out,He's been sitting right here but totally AWOL the whole meeting.,He's been sitting here but completely tuned out the whole meeting.,grok
BAMF,total badass,She shut down the haters like a complete BAMF.,She shut down the haters like a complete badass.,grok
ABBR,short form,Can someone drop the ABBR for this term real quick?,Can someone tell me the short version of this term real quick?,grok
Food Coma,stuffed and sleepy,That Thanksgiving plate put me straight into a food coma.,That huge Thanksgiving plate left me stuffed and half-asleep.,grok
EZ,easy,That quiz was so EZ I finished in five minutes.,That quiz was so easy I finished in five minutes.,grok
YWHNB,we're out of it,Looking for chips? YWHNB over here.,Looking for chips? We're completely out.,grok
OBV,obviously,OBV I'm picking the free tickets.,Obviously I'm grabbing the free tickets.,grok
Instant Karma,immediate payback,"He stole my parking spot and got blocked in, pure instant karma.","He stole my parking spot and then got trapped, payback right away.",grok
Dry Texter,boring texter,"Talking to him is painful, biggest dry texter I know.","Talking to him is painful, he sends the most boring messages.",grok
TAFN,that's all,"Nothing else to report, TAFN.","Nothing else to share, that's everything for now.",grok
